compa_ratio,compa_ratio_range,cost_center,country,current_rating,employee_id,ethnicity,gender,generation,high_performer,high_potential,hiring_source,is_leader,is_manager,job_family_group,job_level,job_profile,legal_full_name,length_of_service,location,management_level,manager_id,org_level_1,org_level_2,org_level_3,org_level_4,org_level_5,region,single_job_family,supervisory_org,tenure_category,total_compensation,age
1.265,Above Compa-Ratio,EMEA - France,France,3 - Meets Expectations,1010,White,Female,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Development,P3,IT - Product Development - P3 Software Engineer,Monica Herrera,8.885,Paris,Individual Contributor,5587,Shareholders,Board,Technology & IT,Technology,Quality Assurance,EMEA,IT - Product Development,Quality Assurance,05-10 Years,78400,33.0
1.092,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,1011,White,Male,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,Mr. Juan Calderon,0.838,Toronto,Individual Contributor,1628,Shareholders,Board,Sales,Account Executives,,AMER,Sales - Inside Sales,Account Executives,00-01 Years,84600,30.0
0.755,Below Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,1012,White,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,True,Sales,M2,Sales - Management - Associate Manager,Scott Ray,17.537,Edmonton,Manager,1423,Shareholders,Board,Sales,,,AMER,Sales - Management,Sales,15+ Years,130300,39.0
1.395,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,1013,White,Female,Generation X (1965-1980),False,False,Referral,True,True,Executive,M8,Executive Management - Executive Vice President,Amber Perez,34.978,San Francisco,Executive Vice President,1000,Shareholders,,,,,AMER,Executive Management,Shareholders,15+ Years,592900,56.0
1.568,Above Compa-Ratio,EMEA - France,France,2 - Needs Improvement,1014,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Executive,P5,Board Management - Principal Board Associate,Angela Hall,7.97,Toulouse,Vice President,5735,Shareholders,Board,,,,EMEA,Board Management,Board,05-10 Years,191300,41.0
1.192,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,5 - Outstanding Performance,1015,Asian,Female,Generation X (1965-1980),True,False,Internal,False,False,Sales,P5,Sales - Direct Sales - Principal Direct Sales Representative,Diana Reid,15.953,London,Individual Contributor,2051,Shareholders,Board,Sales,Account Executives,,EMEA,Sales - Direct Sales,Account Executives,15+ Years,145400,52.0
1.235,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,1 - Unsatisfactory,1016,White,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Development,P4,IT - Product Development - Senior Business Analytics,Jacqueline Clark,6.69,London,Individual Contributor,3317,Shareholders,Board,Technology & IT,IT,Systems,EMEA,IT - Product Development,Systems,05-10 Years,108700,34.0
0.975,At Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,1017,American Indian or Alaska Native,Male,Generation Y/Millenials (1981-1996),False,True,Internal,False,False,Development,P2,IT - Product Development - P2 Business Analytics,Timothy Wong,5.605,New York,Individual Contributor,3326,Shareholders,Board,Technology & IT,Technology,Quality Assurance,AMER,IT - Product Development,Quality Assurance,05-10 Years,65800,28.0
1.115,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,1018,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Services,P3,Legal - Corporate - P3 Legal Associate Consultant,Carolyn Daniel,5.041,San Francisco,Individual Contributor,5512,Shareholders,Board,Legal,Compliance & Regulation,,AMER,Legal - Corporate,Compliance & Regulation,05-10 Years,86400,34.0
1.288,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,2 - Needs Improvement,1019,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Development,P3,IT - Product Development - P3 Business Analytics,Jamie Mayo,11.493,Busan,Manager,2101,Shareholders,Board,Technology & IT,,,APAC,IT - Product Development,Technology & IT,10-15 Years,69900,33.0
1.004,At Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,1020,White,Male,Generation Y/Millenials (1981-1996),True,False,Referral,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,Justin Cohen,5.833,San Francisco,Individual Contributor,2303,Shareholders,Board,Sales,Customer Care,,AMER,Sales - Inside Sales,Customer Care,05-10 Years,77800,31.0
1.146,Above Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,1021,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,True,Development,M4,IT - Product Management - Senior Manager,Patty Perez,12.405,New York,Manager,5568,Shareholders,Board,Technology & IT,,,AMER,IT - Product Management,Technology & IT,10-15 Years,226300,41.0
0.683,Below Compa-Ratio,Global Support - Asia/Pac,Singapore,3 - Meets Expectations,1022,Asian,Female,Generation Z (1997 and onwards),False,True,Recruiter,False,False,Development,P1,IT - Product Development - P1 Business Analytics,Emily Adams,0.548,Singapore,Individual Contributor,5338,Shareholders,Board,Technology & IT,IT,Support Services,APAC,IT - Product Development,Support Services,00-01 Years,26300,22.0
1.255,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,1023,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,Terri Walter,6.638,New York,Individual Contributor,3646,Shareholders,Board,Sales,Marketing,Media,AMER,Sales - Inside Sales,Media,05-10 Years,138000,35.0
0.83,Below Compa-Ratio,Global Support - Asia/Pac,Singapore,4 - Exceeds Expectations,1024,Asian,Female,Generation X (1965-1980),False,False,Referral,False,True,Sales,M3,Sales - Management - Manager,Mary Foster,8.751,Singapore,Manager,3256,Shareholders,Board,Sales,,,APAC,Sales - Management,Sales,05-10 Years,106000,49.0
1.241,Above Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,1025,White,Male,Generation X (1965-1980),False,False,Corporate Website,False,False,Development,P5,IT - Product Development - Principal QA,Jimmy Baker,4.515,New York,Individual Contributor,3763,Shareholders,Board,Technology & IT,Technology,Design,AMER,IT - Product Development,Design,02-05 Years,189300,45.0
1.385,Above Compa-Ratio,EMEA - France,France,2 - Needs Improvement,1026,White,Female,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Finance,P3,FA - Accounting - P3 Finance Analyst,Kristina Baker,4.427,Paris,Individual Contributor,1823,Shareholders,Board,Finance,Accounting,,EMEA,FA - Accounting,Accounting,02-05 Years,85900,29.0
0.885,Below Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,1027,White,Male,Generation Z (1997 and onwards),False,False,Linkedin,False,False,Development,P2,IT - Product Development - P2 QA,Steven Ross,3.784,Marseille,Individual Contributor,1087,Shareholders,Board,Technology & IT,IT,Systems,EMEA,IT - Product Development,Systems,02-05 Years,47800,26.0
0.963,At Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,1028,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,Zachary Hicks,4.712,Toronto,Individual Contributor,4354,Shareholders,Board,Sales,Marketing,Media,AMER,Sales - Direct Sales,Media,02-05 Years,65000,27.0
1.161,Above Compa-Ratio,EMEA - France,France,1 - Unsatisfactory,1029,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P3,IT - Product Development - P3 Software Engineer,Amber Rodriguez,5.384,Paris,Individual Contributor,3033,Shareholders,Board,Technology & IT,Technology,Quality Assurance,EMEA,IT - Product Development,Quality Assurance,05-10 Years,72000,34.0
1.289,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,1030,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Internal,False,True,Executive,M7,Executive Management - Vice President,Ricky Henderson,10.844,San Francisco,Vice President,1000,Shareholders,,,,,AMER,Executive Management,Shareholders,10-15 Years,457600,39.0
1.565,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,1031,White,Female,Generation X (1965-1980),False,True,Recruiter,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,Jane Ferrell,14.855,Calgary,Individual Contributor,2897,Shareholders,Board,Sales,Sales Development,,AMER,Sales - Inside Sales,Sales Development,10-15 Years,238600,43.0
0.731,Below Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,1032,Asian,Female,Generation Z (1997 and onwards),True,False,Recruiter,False,False,Development,P1,IT - Product Development - P1 Data Scientist,Tricia Valencia,0.096,Toronto,Individual Contributor,3617,Shareholders,Board,Technology & IT,Technology,Product,AMER,IT - Product Development,Product,00-01 Years,40200,21.0
0.953,At Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,1033,White,Male,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Services,P2,Legal - Corporate - P2 Legal Consultant,Nathan Maldonado,2.693,Calgary,Individual Contributor,2812,Shareholders,Board,Legal,Corporate Counsel,,AMER,Legal - Corporate,Corporate Counsel,02-05 Years,64300,27.0
0.998,At Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,1034,White,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,Derek Davidson,5.14,Marseille,Individual Contributor,3312,Shareholders,Board,Sales,Customer Care,,EMEA,Sales - Direct Sales,Customer Care,05-10 Years,53900,28.0
1.364,Above Compa-Ratio,AMER - United States of America,United States of America,2 - Needs Improvement,1035,Black or African American,Male,Generation Y/Millenials (1981-1996),False,True,Internal,False,False,Development,P4,IT - Product Development - Senior Business Analytics,Jeffrey Chavez,8.748,New York,Individual Contributor,3763,Shareholders,Board,Technology & IT,Technology,Design,AMER,IT - Product Development,Design,05-10 Years,150000,35.0
1.492,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,1036,Hispanic,Female,Generation Y/Millenials (1981-1996),True,False,Referral,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,Sherri Baker,3.989,Toronto,Individual Contributor,5913,Shareholders,Board,Sales,Customer Care,,AMER,Sales - Direct Sales,Customer Care,02-05 Years,164100,35.0
1.194,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,1037,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Development,P4,IT - Product Development - Senior QA,Cassandra Gaines,8.74,Seoul,Individual Contributor,3005,Shareholders,Board,Technology & IT,Technology,Product,APAC,IT - Product Development,Product,05-10 Years,91900,35.0
0.99,At Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,1038,Black or African American,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Development,P2,IT - Product Development - P2 Software Engineer,Edwin Fowler,3.967,Calgary,Individual Contributor,4662,Shareholders,Board,Technology & IT,IT,Systems,AMER,IT - Product Development,Systems,02-05 Years,66800,28.0
1.412,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,1039,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Development,P3,IT - Product Development - P3 Business Analytics,Brittany Farmer,3.753,Seoul,Individual Contributor,1896,Shareholders,Board,Technology & IT,IT,Security,APAC,IT - Product Development,Security,02-05 Years,76600,31.0
1.385,Above Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,1040,White,Female,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,Paula Moreno,11.381,Toronto,Individual Contributor,3962,Shareholders,Board,Sales,Marketing,Content Marketing,AMER,Sales - Inside Sales,Content Marketing,10-15 Years,152300,35.0
1.258,Above Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,1041,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Services,P3,Human Resources - P3 Human Resources Consultant,Erika Smith,1.03,San Francisco,Individual Contributor,1567,Shareholders,Board,People & Operations,Pay & Reward,,AMER,Human Resources,Pay & Reward,01-02 Years,97500,29.0
1.049,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,3 - Meets Expectations,1042,White,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Finance,P4,FA - Accounting - Senior Finance Analyst,Sherry Decker,8.899,London,Individual Contributor,5788,Shareholders,Board,Finance,Accounting,,EMEA,FA - Accounting,Accounting,05-10 Years,92300,34.0
1.008,At Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,1043,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,Anthony Humphrey,3.515,Montreal,Individual Contributor,3255,Shareholders,Board,Sales,Marketing,Media,AMER,Sales - Direct Sales,Media,02-05 Years,78100,32.0
1.245,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,1044,White,Female,Generation Y/Millenials (1981-1996),False,True,Referral,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,Angelica Tucker,8.271,Montreal,Individual Contributor,2465,Shareholders,Board,Sales,Sales Development,,AMER,Sales - Inside Sales,Sales Development,05-10 Years,96500,33.0
1.458,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,1045,Black or African American,Male,Generation X (1965-1980),False,False,Referral,True,True,Executive,M8,Executive Management - Executive Vice President,Philip Cannon,8.244,Toronto,Executive Vice President,1000,Shareholders,,,,,AMER,Executive Management,Shareholders,05-10 Years,619700,44.0
0.996,At Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,1046,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P2,IT - Product Development - P2 QA,Karen Pierce,4.447,San Francisco,Individual Contributor,2853,Shareholders,Board,Technology & IT,IT,Security,AMER,IT - Product Development,Security,02-05 Years,67200,27.0
1.405,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,1047,White,Male,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Development,P3,IT - Product Development - P3 QA,Shane Henderson,2.011,San Francisco,Individual Contributor,4930,Shareholders,Board,Technology & IT,Technology,Quality Assurance,AMER,IT - Product Development,Quality Assurance,02-05 Years,108900,29.0
1.135,Above Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,1048,Hispanic,Male,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Services,P4,Human Resources - Senior Human Resources Consultant,Joshua Blair,14.23,Toronto,Individual Contributor,1430,Shareholders,Board,People & Operations,Performance management,,AMER,Human Resources,Performance management,10-15 Years,124900,37.0
1.363,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,1049,American Indian or Alaska Native,Female,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Development,P3,IT - Product Development - P3 Data Scientist,Emily Carney,8.014,Toronto,Individual Contributor,4355,Shareholders,Board,Technology & IT,Technology,Engineering,AMER,IT - Product Development,Engineering,05-10 Years,105600,33.0
1.539,Above Compa-Ratio,EMEA - France,France,2 - Needs Improvement,1050,White,Male,Generation X (1965-1980),False,False,Internal,True,True,Executive,M8,Executive Management - Executive Vice President,Jeffrey Holmes,15.129,Toulouse,Executive Vice President,1000,Shareholders,,,,,EMEA,Executive Management,Shareholders,15+ Years,523200,56.0
1.312,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,5 - Outstanding Performance,1051,Asian,Male,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Finance,P3,FA - Accounting - P3 Accounting Settlement Specialist,Danny Morgan,4.427,Incheon,Individual Contributor,2683,Shareholders,Board,Finance,Financial Control,,APAC,FA - Accounting,Financial Control,02-05 Years,71200,33.0
0.843,Below Compa-Ratio,EMEA - France,France,3 - Meets Expectations,1052,White,Male,Generation Z (1997 and onwards),False,False,Corporate Website,False,False,Finance,P2,FA - Accounting - P2 Finance Analyst,David Robinson,3.896,Paris,Individual Contributor,3784,Shareholders,Board,Finance,Accounting,,EMEA,FA - Accounting,Accounting,02-05 Years,45500,26.0
1.191,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,5 - Outstanding Performance,1053,White,Male,Generation Y/Millenials (1981-1996),True,True,Referral,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,Mark Perez,9.529,London,Individual Contributor,1012,Shareholders,Board,Sales,Customer Care,,EMEA,Sales - Direct Sales,Customer Care,05-10 Years,104800,35.0
1.51,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,1054,Asian,Male,Baby Boomers (1946-1964),False,False,Linkedin,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,Scott Jones,37.321,Toronto,Individual Contributor,5241,Shareholders,Board,Sales,Account Executives,,AMER,Sales - Inside Sales,Account Executives,15+ Years,230200,63.0
1.25,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,1055,American Indian or Alaska Native,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P3,IT - Product Development - P3 Data Scientist,Michael Lewis,1.66,New York,Individual Contributor,3289,Shareholders,Board,Technology & IT,IT,Support Services,AMER,IT - Product Development,Support Services,01-02 Years,96900,31.0
0.913,Below Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,1056,White,Female,Generation Z (1997 and onwards),True,False,Linkedin,False,False,Development,P2,IT - Product Development - P2 Data Scientist,Taylor Duncan,0.071,San Francisco,Individual Contributor,1896,Shareholders,Board,Technology & IT,IT,Security,AMER,IT - Product Development,Security,00-01 Years,61600,25.0
0.799,Below Compa-Ratio,EMEA - France,France,1 - Unsatisfactory,1057,White,Female,Baby Boomers (1946-1964),False,True,Corporate Website,False,True,Sales,M2,Sales - Management - Associate Manager,Rachel Aguirre,29.57,Marseille,Manager,4796,Shareholders,Board,Sales,,,EMEA,Sales - Management,Sales,15+ Years,110200,62.0
0.853,Below Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,1058,American Indian or Alaska Native,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Development,P2,IT - Product Development - P2 QA,Anne Jordan,3.359,Toronto,Individual Contributor,4789,Shareholders,Board,Technology & IT,Technology,Quality Assurance,AMER,IT - Product Development,Quality Assurance,02-05 Years,57600,27.0
1.09,Above Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,1059,Asian,Female,Generation Y/Millenials (1981-1996),True,False,Referral,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,Julie Daniel,7.079,San Francisco,Individual Contributor,1024,Shareholders,Board,Sales,Customer Care,,AMER,Sales - Inside Sales,Customer Care,05-10 Years,119900,35.0
1.111,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,3 - Meets Expectations,1060,Asian,Female,Generation X (1965-1980),False,False,Referral,False,True,Development,M4,IT - Product Management - Senior Manager,Victoria Garcia,21.786,Seoul,Manager,2070,Shareholders,Board,Technology & IT,IT,,APAC,IT - Product Management,IT,15+ Years,153600,47.0
1.26,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,1061,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Development,P4,IT - Product Development - Senior QA,Gina Hensley,5.145,Seoul,Individual Contributor,5345,Shareholders,Board,Technology & IT,IT,Network Support,APAC,IT - Product Development,Network Support,05-10 Years,97000,36.0
1.094,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,1062,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Development,P3,IT - Product Development - P3 Data Scientist,Connor West,4.337,Toronto,Individual Contributor,3034,Shareholders,Board,Technology & IT,IT,Security,AMER,IT - Product Development,Security,02-05 Years,84800,30.0
0.952,At Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,1063,Asian,Female,Baby Boomers (1946-1964),False,False,Referral,False,True,Finance,M3,FA - Management - Manager,Diana Wright,20.03,San Francisco,Manager,3784,Shareholders,Board,Finance,,,AMER,FA - Management,Finance,15+ Years,173800,62.0
1.191,Above Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,1064,American Indian or Alaska Native,Female,Generation X (1965-1980),True,True,Internal,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,Jessica Callahan,26.732,San Francisco,Individual Contributor,4652,Shareholders,Board,Sales,Sales Development,,AMER,Sales - Inside Sales,Sales Development,15+ Years,181700,49.0
1.335,Above Compa-Ratio,EMEA - France,France,1 - Unsatisfactory,1065,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,Anthony Kidd,7.803,Marseille,Individual Contributor,2695,Shareholders,Board,Sales,Marketing,Search Engine Optimization,EMEA,Sales - Inside Sales,Search Engine Optimization,05-10 Years,82800,29.0
0.898,Below Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,1066,White,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P2,Sales - Inside Sales - P2 Inside Sales Representative,Tracy House,0.203,Toronto,Individual Contributor,5155,Shareholders,Board,Sales,Sales Development,,AMER,Sales - Inside Sales,Sales Development,00-01 Years,60600,27.0
1.258,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,1067,Asian,Male,Baby Boomers (1946-1964),False,False,Linkedin,False,False,Sales,P5,Sales - Direct Sales - Principal Direct Sales Representative,Christopher Tucker,2.562,Montreal,Individual Contributor,3646,Shareholders,Board,Sales,Marketing,Content Marketing,AMER,Sales - Direct Sales,Content Marketing,02-05 Years,191900,63.0
0.649,Below Compa-Ratio,Global Support - Asia/Pac,Singapore,4 - Exceeds Expectations,1068,Asian,Female,Generation Z (1997 and onwards),False,False,Agency,False,False,Sales,P1,Sales - Direct Sales - P1 Direct Sales Representative,Jennifer Brown,2.425,Singapore,Individual Contributor,3284,Shareholders,Board,Sales,Marketing,Search Engine Optimization,APAC,Sales - Direct Sales,Search Engine Optimization,02-05 Years,25000,23.0
1.403,Above Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,1069,White,Male,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Development,P3,IT - Product Development - P3 Business Analytics,William Baker,4.208,Toulouse,Individual Contributor,3489,Shareholders,Board,Technology & IT,IT,Support Services,EMEA,IT - Product Development,Support Services,02-05 Years,87000,30.0
1.346,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,1070,Hispanic,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Services,P4,Human Resources - Senior Human Resources Analyst,Jesse Henderson,12.123,Calgary,Individual Contributor,3504,Shareholders,Board,People & Operations,Pay & Reward,,AMER,Human Resources,Pay & Reward,10-15 Years,148100,34.0
1.31,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,1071,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P4,IT - Product Development - Senior Software Engineer,Whitney Peters,2.978,Toronto,Individual Contributor,5084,Shareholders,Board,Technology & IT,Technology,Product,AMER,IT - Product Development,Product,02-05 Years,144100,35.0
1.459,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,1072,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,Brittney Phillips,14.589,Montreal,Individual Contributor,5630,Shareholders,Board,Sales,Customer Care,,AMER,Sales - Inside Sales,Customer Care,10-15 Years,160500,36.0
1.477,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,5 - Outstanding Performance,1073,White,Male,Generation X (1965-1980),True,False,Referral,False,False,Executive,P5,Board Management - Principal Board Associate,Mr. Joshua Adkins,12.542,London,Vice President,4602,Shareholders,Board,,,,EMEA,Board Management,Board,10-15 Years,180200,49.0
